KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;x
dynamic-al_misr_arabic-nubian_RICE-culture-num1;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;x
dynamic-al_suryah_arabic-culture-num1;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;x
dynamic-al_suryah_arabic-culture-num2;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;x
dynamic-al_suryah_arabic-culture-num3;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;x
dynamic-armenian-culture-num1;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;x
dynamic-armenian-oghuz-culture-num1;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;x
dynamic-avadhi-culture-num1;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;x
dynamic-avadhi-persian-culture-num1;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;x
dynamic-bavarian-culture-num1;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;x
dynamic-bedouin_arabic-culture-num1;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;x
dynamic-bedouin_arabic-mongol-culture-num1;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;x
dynamic-greek-culture-num1;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;x
dynamic-greek-culture-num2;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;x
dynamic-greek-culture-num3;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;x
dynamic-gujarati-mongol-culture-num1;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;x
dynamic-gujarati-mongol-culture-num2;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;x
dynamic-hungarian-culture-num1;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;x
dynamic-kirgiz-culture-num1;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;Julymid;x
dynamic-kirgiz-culture-num2;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;Blu;x
dynamic-mali-culture-num1;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;x
dynamic-marathi-culture-num1;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;x
dynamic-mongol-culture-num1;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;Borjigin;x
dynamic-mongol-culture-num2;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;Narantsetseg;x
dynamic-mongol-culture-num3;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;Minoo;x
dynamic-mongol-culture-num4;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;Khuyildarid;x
dynamic-mongol-culture-num5;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;Khorasani-Mongol;x
dynamic-mongol-peristani-culture-num1;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;Shomde;x
dynamic-mongol-persian-culture-num1;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;Kogsegu;x
dynamic-mongol-russian_culture-culture-num1;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;Burkhan;x
dynamic-mongol-uyghur-culture-num1;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;Gughlugid;x
dynamic-nogaybak-culture-num1;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;Aibakid;x
dynamic-nogaybak-mongol-culture-num1;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;Paikiv;x
dynamic-normand-culture-num1;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;Neo-Irish;x
dynamic-norwegian-culture-num1;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;Finnmörk;x
dynamic-panjabi-tajik-culture-num1;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;Punjabi-Khorasani;x
dynamic-romanian-culture-num1;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;Bârladian;x
dynamic-russian_culture-culture-num1;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;Sakalan;x
dynamic-russian_culture-culture-num2;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;Cherven;x
dynamic-samoyed-culture-num1;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;Bjarmo-Rus;x
dynamic-sapmi-culture-num1;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;Åarjetjan;x
dynamic-scottish-culture-num1;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;Outer Hebridean;x
dynamic-tibetan-culture-num1;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;Xigazê;x
dynamic-tibetan-culture-num2;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;Purig;x
dynamic-tibetan-culture-num3;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;Gongbo;x
dynamic-tibetan-culture-num4;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;Gêrqên;x
dynamic-tunjur-culture-num1;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;Daju-Maba;x
dynamic-tuvan-culture-num1;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;Karagas;x
dynamic-uyghur-culture-num1;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;x
dynamic-uyghur-culture-num2;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;Karghaliki;x
dynamic-uzbehk-culture-num1;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;Yusufid;x
